Database_Name,Max_Temperature,Time_of_Max_Temperature,Number_of_Detections
C:\SG_Devices_DBs\SG21\2025-06-25_Galshan.db,47.599998474121094,2025.06.25_10.14.14,22
C:\SG_Devices_DBs\SG21\2025-06-26_Galshan.db,48.599998474121094,2025.06.26_12.12.23,7
C:\SG_Devices_DBs\SG21\2025-06-27_Galshan.db,47.5,2025.06.27_10.16.33,8
C:\SG_Devices_DBs\SG21\2025-06-28_Galshan.db,41.400001525878906,2025.06.28_15.53.33,17
C:\SG_Devices_DBs\SG21\2025-06-29_Galshan.db,49.79999923706055,2025.06.29_14.54.43,8
C:\SG_Devices_DBs\SG21\2025-06-30_Galshan.db,49.20000076293945,2025.06.30_08.20.50,5
C:\SG_Devices_DBs\SG21\2025-07-01_Galshan.db,41.0,2025.07.01_12.32.01,3
C:\SG_Devices_DBs\SG21\2025-07-02_Galshan.db,48.0,2025.07.02_07.56.53,5
C:\SG_Devices_DBs\SG21\2025-07-03_Galshan.db,47.5,2025.07.03_11.04.11,2
C:\SG_Devices_DBs\SG21\2025-07-04_Galshan.db,48.29999923706055,2025.07.04_11.22.24,4
C:\SG_Devices_DBs\SG21\2025-07-05_Galshan.db,41.70000076293945,2025.07.05_10.53.30,3
C:\SG_Devices_DBs\SG21\2025-07-06_Galshan.db,40.70000076293945,2025.07.06_15.12.50,740
C:\SG_Devices_DBs\SG21\2025-07-07_Galshan.db,48.599998474121094,2025.07.07_14.03.43,6385
C:\SG_Devices_DBs\SG21\2025-07-08_Galshan.db,48.70000076293945,2025.07.08_13.56.09,182
C:\SG_Devices_DBs\SG21\2025-07-09_Galshan.db,49.400001525878906,2025.07.09_12.56.11,7
C:\SG_Devices_DBs\SG21\2025-07-10_Galshan.db,47.599998474121094,2025.07.10_11.21.15,2
C:\SG_Devices_DBs\SG21\2025-07-11_Galshan.db,49.29999923706055,2025.07.11_10.46.48,4
C:\SG_Devices_DBs\SG21\2025-07-12_Galshan.db,43.29999923706055,2025.07.12_12.36.02,5
C:\SG_Devices_DBs\SG21\2025-07-13_Galshan.db,44.79999923706055,2025.07.13_09.00.59,5
C:\SG_Devices_DBs\SG21\2025-07-14_Galshan.db,49.099998474121094,2025.07.14_12.12.38,5
C:\SG_Devices_DBs\SG21\2025-07-15_Galshan.db,47.400001525878906,2025.07.15_17.14.13,3
C:\SG_Devices_DBs\SG21\2025-07-16_Galshan.db,49.900001525878906,2025.07.16_15.57.28,7
C:\SG_Devices_DBs\SG21\2025-07-17_Galshan.db,54.5,2025.07.17_11.23.28,1
C:\SG_Devices_DBs\SG21\2025-07-18_Galshan.db,43.29999923706055,2025.07.18_13.44.50,10
C:\SG_Devices_DBs\SG21\2025-07-19_Galshan.db,47.400001525878906,2025.07.19_10.15.47,30
C:\SG_Devices_DBs\SG21\2025-07-20_Galshan.db,47.70000076293945,2025.07.20_12.27.35,17
C:\SG_Devices_DBs\SG21\2025-07-21_Galshan.db,49.20000076293945,2025.07.21_14.28.53,59
C:\SG_Devices_DBs\SG21\2025-07-22_Galshan.db,49.0,2025.07.22_09.35.46,6
C:\SG_Devices_DBs\SG21\2025-07-23_Galshan.db,52.29999923706055,2025.07.23_13.31.09,116
C:\SG_Devices_DBs\SG21\2025-07-24_Galshan.db,50.70000076293945,2025.07.24_10.37.41,2
C:\SG_Devices_DBs\SG21\2025-07-25_Galshan.db,46.29999923706055,2025.07.25_13.11.14,0
C:\SG_Devices_DBs\SG21\2025-07-26_Galshan.db,49.5,2025.07.26_11.30.18,1
C:\SG_Devices_DBs\SG21\2025-07-27_Galshan.db,54.5,2025.07.27_16.52.56,3
C:\SG_Devices_DBs\SG21\2025-07-28_Galshan.db,53.400001525878906,2025.07.28_10.24.55,270
C:\SG_Devices_DBs\SG21\2025-07-29_Galshan.db,48.79999923706055,2025.07.29_14.10.30,136
C:\SG_Devices_DBs\SG21\2025-07-30_Galshan.db,54.29999923706055,2025.07.30_12.52.03,2
C:\SG_Devices_DBs\SG21\2025-07-31_Galshan.db,50.0,2025.07.31_11.14.33,3
C:\SG_Devices_DBs\SG21\2025-08-01_Galshan.db,48.29999923706055,2025.08.01_11.35.19,0
C:\SG_Devices_DBs\SG21\2025-08-02_Galshan.db,50.599998474121094,2025.08.02_12.42.35,6
C:\SG_Devices_DBs\SG21\2025-08-03_Galshan.db,50.5,2025.08.03_12.29.13,5
C:\SG_Devices_DBs\SG21\2025-08-04_Galshan.db,50.79999923706055,2025.08.04_11.18.50,9
C:\SG_Devices_DBs\SG21\2025-08-05_Galshan.db,47.099998474121094,2025.08.05_11.04.11,2
C:\SG_Devices_DBs\SG21\2025-08-06_Galshan.db,49.79999923706055,2025.08.06_12.33.07,17
C:\SG_Devices_DBs\SG21\2025-08-07_Galshan.db,53.0,2025.08.07_11.51.58,123
C:\SG_Devices_DBs\SG21\2025-08-08_Galshan.db,46.79999923706055,2025.08.08_11.26.05,6
C:\SG_Devices_DBs\SG21\2025-08-09_Galshan.db,54.79999923706055,2025.08.09_11.08.14,2
C:\SG_Devices_DBs\SG21\2025-08-10_Galshan.db,51.29999923706055,2025.08.10_12.31.40,99
C:\SG_Devices_DBs\SG21\2025-08-11_Galshan.db,49.70000076293945,2025.08.11_10.28.38,12
C:\SG_Devices_DBs\SG21\2025-08-12_Galshan.db,49.400001525878906,2025.08.12_13.30.04,1
C:\SG_Devices_DBs\SG21\2025-08-13_Galshan.db,54.599998474121094,2025.08.13_12.35.47,2
C:\SG_Devices_DBs\SG21\2025-08-14_Galshan.db,54.29999923706055,2025.08.14_13.58.56,3
C:\SG_Devices_DBs\SG21\2025-08-15_Galshan.db,51.79999923706055,2025.08.15_12.45.32,2
C:\SG_Devices_DBs\SG21\2025-08-16_Galshan.db,47.29999923706055,2025.08.16_11.42.46,4
C:\SG_Devices_DBs\SG21\2025-08-17_Galshan.db,45.20000076293945,2025.08.17_13.01.58,1
C:\SG_Devices_DBs\SG21\2025-08-18_Galshan.db,44.79999923706055,2025.08.18_11.39.01,25
C:\SG_Devices_DBs\SG21\2025-08-19_Galshan.db,47.0,2025.08.19_11.58.12,8
C:\SG_Devices_DBs\SG21\2025-08-20_Galshan.db,46.29999923706055,2025.08.20_11.45.25,5
C:\SG_Devices_DBs\SG21\2025-08-21_Galshan.db,48.400001525878906,2025.08.21_11.25.39,19
C:\SG_Devices_DBs\SG21\2025-08-22_Galshan.db,50.0,2025.08.22_10.35.31,17
C:\SG_Devices_DBs\SG21\2025-08-23_Galshan.db,51.900001525878906,2025.08.23_11.29.50,1
C:\SG_Devices_DBs\SG21\2025-08-24_Galshan.db,49.70000076293945,2025.08.24_13.48.26,4
C:\SG_Devices_DBs\SG21\2025-08-25_Galshan.db,48.599998474121094,2025.08.25_14.01.44,18
C:\SG_Devices_DBs\SG21\2025-08-26_Galshan.db,47.5,2025.08.26_13.14.55,25
C:\SG_Devices_DBs\SG21\2025-08-27_Galshan.db,47.70000076293945,2025.08.27_12.22.08,5
C:\SG_Devices_DBs\SG21\2025-08-28_Galshan.db,50.0,2025.08.28_11.47.22,3
C:\SG_Devices_DBs\SG21\2025-08-29_Galshan.db,46.20000076293945,2025.08.29_11.37.18,3
C:\SG_Devices_DBs\SG21\2025-08-30_Galshan.db,45.70000076293945,2025.08.30_10.56.27,2
C:\SG_Devices_DBs\SG21\2025-08-31_Galshan.db,48.400001525878906,2025.08.31_12.57.43,0
C:\SG_Devices_DBs\SG21\2025-09-01_Galshan.db,47.29999923706055,2025.09.01_11.46.50,0
C:\SG_Devices_DBs\SG21\2025-09-02_Galshan.db,47.900001525878906,2025.09.02_13.36.08,2
C:\SG_Devices_DBs\SG21\2025-09-03_Galshan.db,45.79999923706055,2025.09.03_14.59.10,80
C:\SG_Devices_DBs\SG21\2025-09-04_Galshan.db,49.0,2025.09.04_14.31.03,23
C:\SG_Devices_DBs\SG21\2025-09-05_Galshan.db,52.599998474121094,2025.09.05_12.02.13,2
C:\SG_Devices_DBs\SG21\2025-09-06_Galshan.db,36.79999923706055,2025.09.06_16.06.11,0
C:\SG_Devices_DBs\SG21\2025-09-07_Galshan.db,49.5,2025.09.07_12.54.42,4
C:\SG_Devices_DBs\SG21\2025-09-08_Galshan.db,47.70000076293945,2025.09.08_12.27.16,20
C:\SG_Devices_DBs\SG21\2025-09-09_Galshan.db,47.400001525878906,2025.09.09_09.34.23,4
C:\SG_Devices_DBs\SG21\2025-09-10_Galshan.db,47.099998474121094,2025.09.10_14.46.28,2
C:\SG_Devices_DBs\SG21\2025-09-11_Galshan.db,36.5,2025.09.11_00.04.57,0
C:\SG_Devices_DBs\SG21\2025-09-16_Galshan.db,20.799999237060547,2025.09.16_20.57.41,0
C:\SG_Devices_DBs\SG21\2025-09-17_Galshan.db,20.799999237060547,2025.09.17_22.23.54,0
C:\SG_Devices_DBs\SG21\2025-10-19_Galshan.db,37.20000076293945,2025.10.19_11.14.53,0
C:\SG_Devices_DBs\SG21\2025-10-21_Galshan.db,N/A,N/A,0
C:\SG_Devices_DBs\SG21\2025-10-27_Galshan.db,29.399999618530273,2025.10.27_23.55.14,0
C:\SG_Devices_DBs\SG21\2025-10-28_Galshan.db,49.20000076293945,2025.10.28_10.07.46,7
C:\SG_Devices_DBs\SG21\2025-10-29_Galshan.db,41.400001525878906,2025.10.29_11.56.24,2
C:\SG_Devices_DBs\SG21\2025-11-05_Galshan.db,35.400001525878906,2025.11.05_23.59.21,0
C:\SG_Devices_DBs\SG21\2025-11-06_Galshan.db,49.599998474121094,2025.11.06_12.29.59,3
C:\SG_Devices_DBs\SG21\2025-11-07_Galshan.db,43.900001525878906,2025.11.07_13.27.42,2
C:\SG_Devices_DBs\SG21\2025-11-08_Galshan.db,38.70000076293945,2025.11.08_23.15.06,2
C:\SG_Devices_DBs\SG21\2025-11-09_Galshan.db,38.099998474121094,2025.11.09_04.28.55,1
C:\SG_Devices_DBs\SG21\2025-11-10_Galshan.db,44.099998474121094,2025.11.10_14.59.37,1
C:\SG_Devices_DBs\SG21\2025-11-11_Galshan.db,46.29999923706055,2025.11.11_13.17.47,1
C:\SG_Devices_DBs\SG21\2025-11-12_Galshan.db,41.79999923706055,2025.11.12_12.24.59,17
C:\SG_Devices_DBs\SG21\2025-11-13_Galshan.db,48.70000076293945,2025.11.13_12.12.20,3
C:\SG_Devices_DBs\SG21\2025-11-14_Galshan.db,32.29999923706055,2025.11.14_00.03.54,0
C:\SG_Devices_DBs\SG21\2025-11-16_Galshan.db,42.900001525878906,2025.11.16_10.35.35,0
C:\SG_Devices_DBs\SG21\2025-11-17_Galshan.db,38.400001525878906,2025.11.17_13.16.12,3
C:\SG_Devices_DBs\SG21\2025-11-18_Galshan.db,34.5,2025.11.18_14.10.14,2
C:\SG_Devices_DBs\SG21\2025-11-19_Galshan.db,37.29999923706055,2025.11.19_14.39.23,2
C:\SG_Devices_DBs\SG21\2025-11-20_Galshan.db,43.0,2025.11.20_12.40.51,3
C:\SG_Devices_DBs\SG21\2025-11-21_Galshan.db,42.70000076293945,2025.11.21_13.09.51,7
C:\SG_Devices_DBs\SG21\2025-11-23_Galshan.db,38.099998474121094,2025.11.23_13.56.43,2
C:\SG_Devices_DBs\SG21\2025-11-24_Galshan.db,41.5,2025.11.24_13.38.35,6
C:\SG_Devices_DBs\SG21\2025-11-25_Galshan.db,42.400001525878906,2025.11.25_14.34.03,4
C:\SG_Devices_DBs\SG21\2025-11-26_Galshan.db,39.0,2025.11.26_14.30.24,2
C:\SG_Devices_DBs\SG21\2025-11-27_Galshan.db,33.900001525878906,2025.11.27_10.23.08,1579
C:\SG_Devices_DBs\SG21\2025-11-28_Galshan.db,34.400001525878906,2025.11.28_15.46.38,49
C:\SG_Devices_DBs\SG21\2025-11-29_Galshan.db,34.79999923706055,2025.11.29_22.05.52,1
C:\SG_Devices_DBs\SG21\2025-11-30_Galshan.db,35.900001525878906,2025.11.30_08.13.15,2
C:\SG_Devices_DBs\SG21\2025-12-01_Galshan.db,46.099998474121094,2025.12.01_08.55.29,6
C:\SG_Devices_DBs\SG21\2025-12-02_Galshan.db,39.900001525878906,2025.12.02_10.45.39,0
C:\SG_Devices_DBs\SG21\2025-12-03_Galshan.db,39.900001525878906,2025.12.03_12.01.58,2
C:\SG_Devices_DBs\SG21\2025-12-04_Galshan.db,34.5,2025.12.04_17.43.43,54
C:\SG_Devices_DBs\SG21\2025-12-05_Galshan.db,24.700000762939453,2025.12.05_00.02.00,1
C:\SG_Devices_DBs\SG21\2025-12-07_Galshan.db,35.5,2025.12.07_08.59.01,2
C:\SG_Devices_DBs\SG21\2025-12-08_Galshan.db,29.100000381469727,2025.12.08_14.06.34,6
C:\SG_Devices_DBs\SG21\2025-12-09_Galshan.db,31.799999237060547,2025.12.09_09.11.39,1
C:\SG_Devices_DBs\SG23\2024-11-26_Galshan.db,30.799999237060547,2024.11.26_04.13.32,0
C:\SG_Devices_DBs\SG23\2025-03-24_Galshan.db,34.5,2025.03.24_21.46.03,904
C:\SG_Devices_DBs\SG23\2025-04-01_Galshan.db,28.899999618530273,2025.04.01_17.14.49,1
C:\SG_Devices_DBs\SG23\2025-04-08_Galshan.db,33.29999923706055,2025.04.08_05.06.04,0
C:\SG_Devices_DBs\SG23\2025-04-09_Galshan.db,28.5,2025.04.09_10.14.37,45
C:\SG_Devices_DBs\SG23\2025-04-10_Galshan.db,36.70000076293945,2025.04.10_07.59.04,1082
C:\SG_Devices_DBs\SG23\2025-04-20_Galshan.db,33.29999923706055,2025.04.20_06.45.17,325
C:\SG_Devices_DBs\SG23\2025-04-24_Galshan.db,32.900001525878906,2025.04.24_04.37.04,763
C:\SG_Devices_DBs\SG23\2025-04-27_Galshan.db,35.900001525878906,2025.04.27_08.51.34,1970
C:\SG_Devices_DBs\SG23\2025-05-06_Galshan.db,N/A,N/A,0
C:\SG_Devices_DBs\SG23\2025-05-07_Galshan.db,41.5,2025.05.07_09.41.04,205
C:\SG_Devices_DBs\SG23\2025-05-08_Galshan.db,44.20000076293945,2025.05.08_12.58.16,55
C:\SG_Devices_DBs\SG23\2025-05-09_Galshan.db,48.099998474121094,2025.05.09_04.22.56,198
C:\SG_Devices_DBs\SG23\2025-05-14_Galshan.db,30.200000762939453,2025.05.14_10.27.09,31
C:\SG_Devices_DBs\SG23\2025-05-15_Galshan.db,32.900001525878906,2025.05.15_06.19.46,152
C:\SG_Devices_DBs\SG23\2025-05-16_Galshan.db,44.20000076293945,2025.05.16_09.16.32,0
C:\SG_Devices_DBs\SG23\2025-05-19_Galshan.db,39.29999923706055,2025.05.19_09.32.03,0
C:\SG_Devices_DBs\SG23\2025-05-20_Galshan.db,36.099998474121094,2025.05.20_16.39.18,4099
C:\SG_Devices_DBs\SG23\2025-05-21_Galshan.db,38.29999923706055,2025.05.21_06.39.41,20194
C:\SG_Devices_DBs\SG23\2025-05-22_Galshan.db,36.099998474121094,2025.05.22_07.50.14,7021
C:\SG_Devices_DBs\SG23\2025-05-23_Galshan.db,40.29999923706055,2025.05.23_16.19.28,368
C:\SG_Devices_DBs\SG23\2025-05-24_Galshan.db,38.400001525878906,2025.05.24_09.54.21,0
C:\SG_Devices_DBs\SG23\2025-05-25_Galshan.db,38.400001525878906,2025.05.25_13.33.26,6560
C:\SG_Devices_DBs\SG23\2025-05-26_Galshan.db,48.20000076293945,2025.05.26_12.06.52,1809
C:\SG_Devices_DBs\SG23\2025-05-27_Galshan.db,35.70000076293945,2025.05.27_08.58.57,285
C:\SG_Devices_DBs\SG23\2025-05-28_Galshan.db,37.599998474121094,2025.05.28_16.19.27,229
C:\SG_Devices_DBs\SG23\2025-05-29_Galshan.db,38.79999923706055,2025.05.29_09.01.55,1787
C:\SG_Devices_DBs\SG23\2025-05-30_Galshan.db,41.400001525878906,2025.05.30_08.26.35,114
C:\SG_Devices_DBs\SG23\2025-05-31_Galshan.db,38.900001525878906,2025.05.31_07.45.15,0
C:\SG_Devices_DBs\SG23\2025-06-01_Galshan.db,N/A,N/A,0
C:\SG_Devices_DBs\SG23\2025-06-02_Galshan.db,38.900001525878906,2025.06.02_07.48.48,4
C:\SG_Devices_DBs\SG23\2025-06-03_Galshan.db,33.599998474121094,2025.06.03_06.31.28,45
C:\SG_Devices_DBs\SG23\2025-06-04_Galshan.db,34.5,2025.06.04_23.06.02,10
C:\SG_Devices_DBs\SG23\2025-06-05_Galshan.db,42.400001525878906,2025.06.05_09.06.19,947
C:\SG_Devices_DBs\SG23\2025-06-06_Galshan.db,44.099998474121094,2025.06.06_09.31.01,262
C:\SG_Devices_DBs\SG23\2025-06-07_Galshan.db,33.900001525878906,2025.06.07_00.01.25,0
C:\SG_Devices_DBs\SG23\2025-06-08_Galshan.db,34.70000076293945,2025.06.08_22.28.56,0
C:\SG_Devices_DBs\SG23\2025-06-09_Galshan.db,37.400001525878906,2025.06.09_18.22.58,36
C:\SG_Devices_DBs\SG23\2025-06-10_Galshan.db,38.29999923706055,2025.06.10_16.48.46,362
C:\SG_Devices_DBs\SG23\2025-06-11_Galshan.db,41.70000076293945,2025.06.11_13.21.23,217
C:\SG_Devices_DBs\SG23\2025-06-12_Galshan.db,44.20000076293945,2025.06.12_09.52.40,864
C:\SG_Devices_DBs\SG23\2025-06-16_Galshan.db,35.599998474121094,2025.06.16_23.18.48,0
C:\SG_Devices_DBs\SG23\2025-06-17_Galshan.db,43.29999923706055,2025.06.17_09.27.11,0
C:\SG_Devices_DBs\SG23\2025-06-18_Galshan.db,45.900001525878906,2025.06.18_08.51.18,8
C:\SG_Devices_DBs\SG23\2025-06-19_Galshan.db,38.20000076293945,2025.06.19_00.00.34,2
C:\SG_Devices_DBs\SG23\2025-06-20_Galshan.db,45.20000076293945,2025.06.20_09.04.51,52
C:\SG_Devices_DBs\SG23\2025-06-21_Galshan.db,36.79999923706055,2025.06.21_00.07.09,0
C:\SG_Devices_DBs\SG23\2025-06-22_Galshan.db,40.5,2025.06.22_06.59.37,606
C:\SG_Devices_DBs\SG23\2025-06-23_Galshan.db,44.099998474121094,2025.06.23_07.26.53,533
C:\SG_Devices_DBs\SG23\2025-06-24_Galshan.db,42.5,2025.06.24_07.45.24,217
C:\SG_Devices_DBs\SG23\2025-06-25_Galshan.db,41.20000076293945,2025.06.25_12.55.57,1
C:\SG_Devices_DBs\SG23\2025-06-26_Galshan.db,41.0,2025.06.26_12.41.49,1
C:\SG_Devices_DBs\SG23\2025-06-27_Galshan.db,48.29999923706055,2025.06.27_08.37.44,158
C:\SG_Devices_DBs\SG23\2025-06-28_Galshan.db,42.5,2025.06.28_18.37.20,1645
C:\SG_Devices_DBs\SG23\2025-06-29_Galshan.db,44.79999923706055,2025.06.29_16.45.29,9434
C:\SG_Devices_DBs\SG23\2025-06-30_Galshan.db,45.900001525878906,2025.06.30_09.29.03,5540
C:\SG_Devices_DBs\SG23\2025-07-01_Galshan.db,44.099998474121094,2025.07.01_16.48.21,5941
C:\SG_Devices_DBs\SG23\2025-07-02_Galshan.db,46.79999923706055,2025.07.02_08.26.43,4541
C:\SG_Devices_DBs\SG23\2025-07-04_Galshan.db,41.0,2025.07.04_17.31.43,0
C:\SG_Devices_DBs\SG23\2025-07-06_Galshan.db,43.20000076293945,2025.07.06_16.59.19,144
C:\SG_Devices_DBs\SG23\2025-07-07_Galshan.db,44.900001525878906,2025.07.07_17.31.36,462
C:\SG_Devices_DBs\SG23\2025-07-08_Galshan.db,45.29999923706055,2025.07.08_08.50.17,536
C:\SG_Devices_DBs\SG23\2025-07-09_Galshan.db,44.400001525878906,2025.07.09_11.05.22,428
C:\SG_Devices_DBs\SG23\2025-07-10_Galshan.db,44.599998474121094,2025.07.10_17.14.47,736
C:\SG_Devices_DBs\SG23\2025-07-11_Galshan.db,47.20000076293945,2025.07.11_09.51.35,70
C:\SG_Devices_DBs\SG23\2025-07-12_Galshan.db,48.70000076293945,2025.07.12_09.50.44,0
C:\SG_Devices_DBs\SG23\2025-07-13_Galshan.db,45.79999923706055,2025.07.13_08.15.50,1472
C:\SG_Devices_DBs\SG23\2025-07-14_Galshan.db,44.70000076293945,2025.07.14_10.29.08,1507
C:\SG_Devices_DBs\SG23\2025-07-15_Galshan.db,45.0,2025.07.15_08.58.26,852
C:\SG_Devices_DBs\SG23\2025-07-16_Galshan.db,45.599998474121094,2025.07.16_15.22.17,1030
C:\SG_Devices_DBs\SG23\2025-07-17_Galshan.db,52.0,2025.07.17_07.46.49,1242
C:\SG_Devices_DBs\SG23\2025-07-18_Galshan.db,44.099998474121094,2025.07.18_12.13.37,0
C:\SG_Devices_DBs\SG23\2025-07-19_Galshan.db,39.5,2025.07.19_02.43.05,0
C:\SG_Devices_DBs\SG23\2025-07-20_Galshan.db,44.0,2025.07.20_10.27.26,766
C:\SG_Devices_DBs\SG23\2025-07-21_Galshan.db,45.099998474121094,2025.07.21_09.02.10,1166
C:\SG_Devices_DBs\SG23\2025-07-22_Galshan.db,47.400001525878906,2025.07.22_11.03.53,981
C:\SG_Devices_DBs\SG23\2025-07-23_Galshan.db,46.70000076293945,2025.07.23_08.17.04,1353
C:\SG_Devices_DBs\SG23\2025-07-24_Galshan.db,47.70000076293945,2025.07.24_16.12.40,1526
C:\SG_Devices_DBs\SG23\2025-07-25_Galshan.db,44.29999923706055,2025.07.25_08.40.23,82
C:\SG_Devices_DBs\SG23\2025-07-26_Galshan.db,46.70000076293945,2025.07.26_17.22.50,0
C:\SG_Devices_DBs\SG23\2025-07-27_Galshan.db,48.29999923706055,2025.07.27_16.55.15,111
C:\SG_Devices_DBs\SG23\2025-07-28_Galshan.db,47.79999923706055,2025.07.28_14.01.29,152
C:\SG_Devices_DBs\SG23\2025-07-29_Galshan.db,42.900001525878906,2025.07.29_16.35.45,205
C:\SG_Devices_DBs\SG23\2025-08-02_Galshan.db,39.5,2025.08.02_09.55.35,0
C:\SG_Devices_DBs\SG23\2025-08-04_Galshan.db,27.700000762939453,2025.08.04_23.54.54,0
C:\SG_Devices_DBs\SG23\2025-08-05_Galshan.db,39.599998474121094,2025.08.05_00.42.56,75
C:\SG_Devices_DBs\SG23\2025-08-11_Galshan.db,48.5,2025.08.11_10.09.40,40
C:\SG_Devices_DBs\SG23\2025-08-12_Galshan.db,44.20000076293945,2025.08.12_22.44.41,117
C:\SG_Devices_DBs\SG23\2025-08-13_Galshan.db,53.20000076293945,2025.08.13_08.51.45,61
C:\SG_Devices_DBs\SG23\2025-08-14_Galshan.db,45.400001525878906,2025.08.14_16.31.37,119
C:\SG_Devices_DBs\SG23\2025-10-19_Galshan.db,41.5,2025.10.19_14.56.00,67
C:\SG_Devices_DBs\SG23\2025-10-20_Galshan.db,40.79999923706055,2025.10.20_10.07.39,792
C:\SG_Devices_DBs\SG23\2025-10-21_Galshan.db,44.099998474121094,2025.10.21_14.50.29,471
C:\SG_Devices_DBs\SG23\2025-10-22_Galshan.db,45.79999923706055,2025.10.22_12.07.39,632
C:\SG_Devices_DBs\SG23\2025-10-23_Galshan.db,46.599998474121094,2025.10.23_14.35.57,111
C:\SG_Devices_DBs\SG23\2025-10-24_Galshan.db,43.0,2025.10.24_15.06.41,5
C:\SG_Devices_DBs\SG23\2025-10-26_Galshan.db,43.5,2025.10.26_09.37.54,1862
C:\SG_Devices_DBs\SG23\2025-10-27_Galshan.db,42.099998474121094,2025.10.27_10.33.37,1766
C:\SG_Devices_DBs\SG23\2025-10-29_Galshan.db,43.099998474121094,2025.10.29_13.40.21,131
C:\SG_Devices_DBs\SG23\2025-10-30_Galshan.db,40.599998474121094,2025.10.30_14.05.34,2481
C:\SG_Devices_DBs\SG23\2025-10-31_Galshan.db,47.0,2025.10.31_10.04.00,44
C:\SG_Devices_DBs\SG23\2025-11-02_Galshan.db,48.0,2025.11.02_14.05.56,468
C:\SG_Devices_DBs\SG23\2025-11-03_Galshan.db,46.29999923706055,2025.11.03_21.55.37,2056
C:\SG_Devices_DBs\SG23\2025-11-04_Galshan.db,48.29999923706055,2025.11.04_11.08.23,763
C:\SG_Devices_DBs\SG23\2025-11-05_Galshan.db,46.400001525878906,2025.11.05_08.59.45,603
C:\SG_Devices_DBs\SG23\2025-11-06_Galshan.db,41.5,2025.11.06_12.19.54,2889
C:\SG_Devices_DBs\SG23\2025-11-07_Galshan.db,41.70000076293945,2025.11.07_10.32.30,21
C:\SG_Devices_DBs\SG23\2025-11-08_Galshan.db,41.900001525878906,2025.11.08_08.39.06,1
C:\SG_Devices_DBs\SG23\2025-11-12_Galshan.db,38.900001525878906,2025.11.12_13.32.11,974
C:\SG_Devices_DBs\SG23\2025-11-13_Galshan.db,39.70000076293945,2025.11.13_13.14.47,2224
C:\SG_Devices_DBs\SG23\2025-11-14_Galshan.db,30.299999237060547,2025.11.14_02.15.08,2
C:\SG_Devices_DBs\SG23\2025-11-16_Galshan.db,37.900001525878906,2025.11.16_11.19.24,1791
C:\SG_Devices_DBs\SG23\2025-11-17_Galshan.db,38.0,2025.11.17_17.29.03,605
C:\SG_Devices_DBs\SG23\2025-11-18_Galshan.db,47.5,2025.11.18_13.41.15,1016
C:\SG_Devices_DBs\SG23\2025-11-19_Galshan.db,38.20000076293945,2025.11.19_18.01.11,2303
C:\SG_Devices_DBs\SG23\2025-11-20_Galshan.db,45.599998474121094,2025.11.20_11.31.39,3328
C:\SG_Devices_DBs\SG23\2025-11-21_Galshan.db,47.79999923706055,2025.11.21_10.10.04,45
C:\SG_Devices_DBs\SG23\2025-11-23_Galshan.db,46.20000076293945,2025.11.23_13.45.56,1329
C:\SG_Devices_DBs\SG23\2025-11-24_Galshan.db,44.599998474121094,2025.11.24_10.52.30,2986
C:\SG_Devices_DBs\SG23\2025-11-25_Galshan.db,29.200000762939453,2025.11.25_03.59.13,0
C:\SG_Devices_DBs\SG23\2025-11-26_Galshan.db,40.900001525878906,2025.11.26_13.25.46,261
C:\SG_Devices_DBs\SG23\2025-11-27_Galshan.db,38.79999923706055,2025.11.27_09.20.45,1133
C:\SG_Devices_DBs\SG23\2025-12-01_Galshan.db,34.29999923706055,2025.12.01_18.33.00,535
C:\SG_Devices_DBs\SG23\2025-12-02_Galshan.db,34.20000076293945,2025.12.02_18.28.59,467
C:\SG_Devices_DBs\SG23\2025-12-03_Galshan.db,30.700000762939453,2025.12.03_23.06.03,5
C:\SG_Devices_DBs\SG23\2025-12-04_Galshan.db,33.099998474121094,2025.12.04_08.00.18,1060
C:\SG_Devices_DBs\SG23\2025-12-08_Galshan.db,36.79999923706055,2025.12.08_13.19.40,488
C:\SG_Devices_DBs\SG23\2025-12-09_Galshan.db,29.5,2025.12.09_16.59.30,310
C:\SG_Devices_DBs\SG23\2025-12-10_Galshan.db,30.700000762939453,2025.12.10_14.07.59,437
C:\SG_Devices_DBs\SG23\2025-12-11_Galshan.db,25.0,2025.12.11_01.02.16,1
C:\SG_Devices_DBs\SG25\2025-03-14_Galshan.db,30.299999237060547,2025.03.14_18.25.01,2
C:\SG_Devices_DBs\SG25\2025-03-15_Galshan.db,44.099998474121094,2025.03.15_13.36.45,1
C:\SG_Devices_DBs\SG25\2025-03-16_Galshan.db,48.70000076293945,2025.03.16_12.31.36,4
C:\SG_Devices_DBs\SG25\2025-03-17_Galshan.db,36.29999923706055,2025.03.17_00.03.15,0
C:\SG_Devices_DBs\SG25\2025-03-18_Galshan.db,40.5,2025.03.18_09.55.04,5
C:\SG_Devices_DBs\SG25\2025-03-19_Galshan.db,27.0,2025.03.19_11.19.47,2
C:\SG_Devices_DBs\SG25\2025-03-20_Galshan.db,16.600000381469727,2025.03.20_10.50.27,3
C:\SG_Devices_DBs\SG25\2025-03-21_Galshan.db,21.399999618530273,2025.03.21_16.27.16,5
C:\SG_Devices_DBs\SG25\2025-03-22_Galshan.db,28.0,2025.03.22_12.47.30,5
